episode,total_steps,episode_return,episode_length,mean_return_10,mean_return_100,avg_loss,buffer_size,actions_taken
240,11032,6.0,42,5.1,4.54,1.1907586082816124,10552,"[4, 5, 5, 5, 4, 5, 5, 1, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 5, 5, 4, 5, 3]"
250,11496,1.0,21,5.4,4.62,0.6412506997585297,10996,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 5, 5, 5, 3, 5, 5, 4, 5, 4, 2]"
260,11957,1.0,19,3.8,4.62,0.5582625567913055,11437,"[1, 1, 1, 1, 1, 1, 1, 1, 5, 5, 5, 5, 2, 4, 4, 4, 4, 4, 4]"
270,12454,6.0,44,4.8,4.55,1.2432660833001137,11914,"[5, 4, 5, 5, 5, 5, 5, 5, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 2, 4, 5, 2, 5]"
280,12817,4.0,23,3.6,4.29,0.682954728603363,12257,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 4, 5, 2, 4]"
290,13345,6.0,84,6.1,4.53,2.190605863928795,12765,"[1, 1, 1, 1, 1, 4, 1, 4, 5, 4, 5, 4, 5, 4, 5, 5, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 5, 5, 1, 4, 5, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 4, 4, 4, 4, 4, 5]"
300,13841,0.0,18,5.9,4.63,0.5018076375126839,13241,"[4, 4, 5, 2, 4, 4, 0, 0, 0, 1, 1, 5, 4, 5, 5, 5, 4, 5]"
310,14306,12.0,84,5.1,4.59,2.1961390376091003,13686,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 4, 4, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 3, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 4, 3, 4, 4, 4, 4]"
320,14800,4.0,33,5.8,4.88,0.9052528142929077,14160,"[4, 4, 4, 2, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 4, 4, 5, 4, 4, 5, 1, 3, 3, 3, 1]"
330,15117,5.0,35,4.3,4.99,0.9271790757775307,14457,"[0, 4, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 4, 4, 5, 4, 4]"
340,15486,5.0,33,5.2,5.0,0.809817336499691,14806,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 4, 4, 3, 4, 3, 4]"
350,15929,7.0,71,5.8,5.04,1.8023279085755348,15229,"[4, 4, 4, 4, 4, 5, 5, 1, 1, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 4, 1, 4, 4, 4, 3, 5, 5, 5, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1]"
360,16240,0.0,14,3.8,5.04,0.39782314002513885,15520,"[4, 4, 5, 4, 1, 1, 1, 1, 5, 5, 4, 5, 5, 5]"
370,16638,5.0,38,4.5,5.01,0.9568183794617653,15898,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 1, 5, 5, 4, 4, 5, 4, 5, 5, 5]"
