episode,total_steps,episode_return,episode_length,mean_return_10,mean_return_100,avg_loss,buffer_size,actions_taken
10,488,6.0,42,4.0,4.0,0.0,468,"[1, 1, 3, 3, 3, 3, 1, 1, 0, 1, 1, 1, 1, 1, 1, 2, 3, 1, 1, 1, 0, 1, 1, 1, 2, 0, 0, 3, 1, 5, 0, 1, 1, 1, 1, 0, 3, 1, 3, 1, 1, 1]"
20,895,3.0,24,2.6,3.3,0.0,855,"[3, 3, 1, 3, 0, 1, 0, 0, 0, 3, 1, 1, 1, 3, 1, 1, 1, 1, 1, 0, 4, 1, 1, 1]"
30,1387,1.0,84,3.2,3.2666666666666666,1.9325311481952667,1327,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 3, 3, 1, 1, 1, 3, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 2, 1, 3, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1]"
40,1931,6.0,43,4.4,3.55,1.0873242691159248,1851,"[3, 1, 1, 3, 3, 3, 1, 1, 1, 3, 3, 3, 1, 0, 1, 3, 3, 1, 1, 3, 1, 1, 3, 3, 1, 3, 3, 3, 1, 1, 3, 3, 3, 1, 3, 3, 1, 3, 3, 3, 3, 1, 1]"
50,2649,6.0,95,6.1,4.06,2.8632759377360344,2549,"[3, 1, 1, 1, 3, 3, 3, 3, 3, 0, 1, 1, 3, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 3, 0, 3, 1, 3, 3, 0, 3, 0, 1, 3, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 3, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 3, 1, 0]"
60,3104,4.0,60,3.7,4.0,1.7560224309563637,2984,"[0, 0, 0, 3, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 3, 1, 3, 3, 0, 3, 1, 5, 3, 3, 0, 1, 3, 3, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 2, 1, 3, 0]"
70,3596,6.0,40,3.6,3.942857142857143,1.1940707489848137,3456,"[3, 3, 3, 1, 3, 0, 0, 3, 3, 1, 3, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 0, 3, 3, 3, 3, 3, 3, 3]"
80,4051,3.0,96,3.0,3.825,2.8113506957888603,3891,"[3, 3, 2, 3, 2, 2, 1, 2, 3, 0, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2, 0, 0, 2, 3, 3, 2, 2, 2, 2, 2, 0, 2, 1, 3, 1, 3, 1, 0, 3, 1, 3, 0, 0, 3, 1, 4, 0, 2, 2, 2, 0, 2, 0, 0, 0, 0, 3, 2, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 3, 0, 3, 1, 0, 3, 3, 3]"
90,4503,0.0,14,3.3,3.7666666666666666,0.36373697966337204,4323,"[4, 0, 2, 2, 2, 2, 2, 0, 2, 2, 3, 0, 2, 2]"
100,4951,5.0,39,4.2,3.81,1.0696344822645187,4751,"[1, 1, 3, 1, 3, 1, 1, 0, 2, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
110,5314,1.0,38,2.8,3.69,1.0748902410268784,5094,"[4, 1, 4, 4, 1, 1, 1, 1, 1, 2, 3, 4, 2, 3, 2, 3, 1, 4, 3, 2, 1, 3, 3, 3, 4, 0, 4, 4, 4, 4, 4, 4, 4, 4, 0, 4, 4, 2]"
120,5720,11.0,101,4.1,3.84,2.9868028685450554,5480,"[1, 1, 4, 3, 0, 3, 4, 1, 4, 3, 2, 2, 4, 3, 2, 4, 4, 2, 2, 2, 4, 2, 2, 4, 4, 4, 2, 2, 2, 4, 4, 4, 0, 4, 4, 0, 0, 0, 4, 3, 0, 3, 0, 0, 4, 2, 4, 2, 3, 3, 4, 3, 2, 3, 2, 4, 3, 2, 4, 4, 2, 3, 4, 4, 4, 0, 0, 2, 3, 3, 3, 4, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 0, 1, 0, 1, 3, 0, 0, 0, 0, 4, 4]"
130,6165,6.0,42,5.3,4.05,1.273181289434433,5905,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 1, 3, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 4, 0, 4, 4]"
140,6526,4.0,23,4.0,4.01,0.6975661516189575,6246,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 3, 1, 2, 4, 4, 4, 3]"
150,6895,5.0,32,4.4,3.84,0.9229843765497208,6595,"[2, 4, 4, 3, 4, 2, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
160,7413,15.0,88,5.9,4.06,2.5630290508270264,7093,"[1, 1, 4, 1, 2, 1, 3, 4, 3, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
170,8000,3.0,30,6.4,4.34,0.9507691338658333,7660,"[4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 1, 1, 3, 3, 3, 1, 3, 4, 4, 4, 1, 4, 3]"
180,8450,7.0,40,5.3,4.57,1.1504375264048576,8090,"[1, 1, 0, 3, 4, 1, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, 4, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1]"
190,9124,0.0,3,6.9,4.93,0.1190136969089508,8744,"[4, 4, 4]"
200,9472,4.0,35,4.3,4.94,1.0054296031594276,9072,"[4, 4, 2, 4, 4, 4, 1, 4, 4, 4, 4, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
